Serial number:	"0096K23R"
79 	 3.96200e-01
80 	 3.97700e-01
81 	 3.96000e-01
82 	 4.13800e-01
83 	 4.14600e-01
84 	 4.17400e-01
85 	 4.17000e-01
86 	 4.15700e-01
87 	 4.16300e-01
88 	 4.16300e-01
89 	 4.18000e-01
90 	 4.18200e-01
91 	 4.17400e-01
92 	 4.34500e-01
93 	 4.35400e-01
94 	 4.37100e-01
95 	 4.38100e-01
96 	 4.37300e-01
97 	 4.37300e-01
98 	 4.37500e-01
99 	 4.38500e-01
100 	 4.39200e-01
101 	 4.37900e-01
102 	 4.55300e-01
103 	 4.57400e-01
104 	 4.59500e-01
105 	 4.59100e-01
106 	 4.59100e-01
107 	 4.59900e-01
108 	 4.57800e-01
109 	 4.59900e-01
110 	 4.59500e-01
111 	 4.59500e-01
112 	 4.74900e-01
113 	 4.76400e-01
114 	 4.78900e-01
115 	 4.78900e-01
116 	 4.77200e-01
117 	 4.78100e-01
118 	 4.77900e-01
119 	 4.79200e-01
120 	 4.79400e-01
121 	 4.78100e-01
122 	 4.92700e-01
123 	 4.93700e-01
124 	 4.94600e-01
125 	 4.96300e-01
126 	 4.94400e-01
127 	 4.95000e-01
128 	 4.95400e-01
129 	 4.94600e-01
130 	 4.95900e-01
131 	 4.94400e-01
132 	 5.10200e-01
133 	 5.11100e-01
134 	 5.13400e-01
135 	 5.13400e-01
136 	 5.13000e-01
137 	 5.14100e-01
138 	 5.12600e-01
139 	 5.13600e-01
140 	 5.14500e-01
141 	 5.12200e-01
142 	 5.13800e-01
143 	 5.28000e-01
144 	 5.29700e-01
145 	 5.31000e-01
146 	 5.29900e-01
147 	 5.30100e-01
148 	 5.31600e-01
149 	 5.30600e-01
150 	 5.31400e-01
151 	 5.30800e-01
152 	 5.31000e-01
153 	 5.47300e-01
154 	 5.48100e-01
155 	 5.49400e-01
156 	 5.49800e-01
157 	 5.50200e-01
158 	 5.49800e-01
159 	 5.50200e-01
160 	 5.50600e-01
161 	 5.50200e-01
162 	 5.49600e-01
163 	 5.62100e-01
164 	 5.62100e-01
165 	 5.65000e-01
166 	 5.64600e-01
167 	 5.64200e-01
168 	 5.65700e-01
169 	 5.64000e-01
170 	 5.65500e-01
171 	 5.65700e-01
172 	 5.65500e-01
173 	 5.82000e-01
174 	 5.83600e-01
175 	 5.84100e-01
176 	 5.83400e-01
177 	 5.84100e-01
178 	 5.83600e-01
179 	 5.83900e-01
180 	 5.85800e-01
181 	 5.86200e-01
182 	 5.84500e-01
183 	 5.96500e-01
184 	 5.97200e-01
185 	 5.98900e-01
186 	 5.98500e-01
187 	 5.98900e-01
188 	 5.98500e-01
189 	 5.98900e-01
190 	 5.99700e-01
191 	 5.99300e-01
192 	 5.99100e-01
193 	 6.14300e-01
194 	 6.14500e-01
195 	 6.16200e-01
196 	 6.15800e-01
197 	 6.15800e-01
198 	 6.16400e-01
199 	 6.16000e-01
200 	 6.17300e-01
201 	 6.16900e-01
202 	 6.16400e-01
203 	 6.30600e-01
204 	 6.32500e-01
205 	 6.33400e-01
206 	 6.33600e-01
207 	 6.33600e-01
208 	 6.33100e-01
209 	 6.33100e-01
210 	 6.33400e-01
211 	 6.33600e-01
212 	 6.33100e-01
213 	 6.47300e-01
214 	 6.48600e-01
215 	 6.50700e-01
216 	 6.50900e-01
217 	 6.51300e-01
218 	 6.50100e-01
219 	 6.50300e-01
220 	 6.51500e-01
221 	 6.51800e-01
222 	 6.51300e-01
223 	 6.51300e-01
224 	 6.61500e-01
225 	 6.63000e-01
226 	 6.63400e-01
227 	 6.62500e-01
228 	 6.63400e-01
229 	 6.63600e-01
230 	 6.64200e-01
231 	 6.63600e-01
232 	 6.64000e-01
233 	 6.64700e-01
234 	 6.76300e-01
235 	 6.78800e-01
236 	 6.80500e-01
237 	 6.79900e-01
238 	 6.79700e-01
239 	 6.79300e-01
240 	 6.79900e-01
241 	 6.79900e-01
242 	 6.80900e-01
243 	 6.80100e-01
244 	 6.91100e-01
245 	 6.93400e-01
246 	 6.92800e-01
247 	 6.94100e-01
248 	 6.94300e-01
249 	 6.93900e-01
250 	 6.94900e-01
251 	 6.94900e-01
252 	 6.94100e-01
253 	 6.93600e-01
254 	 7.06100e-01
255 	 7.07800e-01
256 	 7.07600e-01
257 	 7.08000e-01
258 	 7.08400e-01
259 	 7.08900e-01
260 	 7.09300e-01
261 	 7.09900e-01
262 	 7.08900e-01
263 	 7.09500e-01
264 	 7.20900e-01
265 	 7.23000e-01
266 	 7.22800e-01
267 	 7.23300e-01
268 	 7.22400e-01
269 	 7.23500e-01
270 	 7.24500e-01
271 	 7.23000e-01
272 	 7.24300e-01
273 	 7.24100e-01
274 	 7.33600e-01
275 	 7.36600e-01
276 	 7.36400e-01
277 	 7.36400e-01
278 	 7.37800e-01
279 	 7.37600e-01
280 	 7.38700e-01
281 	 7.37800e-01
282 	 7.37400e-01
283 	 7.38500e-01
284 	 7.49300e-01
285 	 7.52700e-01
286 	 7.51000e-01
287 	 7.51800e-01
288 	 7.51600e-01
289 	 7.50500e-01
290 	 7.53300e-01
291 	 7.52400e-01
292 	 7.51800e-01
293 	 7.52200e-01
294 	 7.62800e-01
295 	 7.63900e-01
296 	 7.63700e-01
297 	 7.63400e-01
298 	 7.64700e-01
299 	 7.65100e-01
300 	 7.65100e-01
301 	 7.64900e-01
302 	 7.65600e-01
303 	 7.65600e-01
304 	 7.69600e-01
305 	 7.72100e-01
306 	 7.71700e-01
307 	 7.72700e-01
308 	 7.73400e-01
309 	 7.71900e-01
310 	 7.73600e-01
311 	 7.73000e-01
312 	 7.73200e-01
313 	 7.73200e-01
314 	 7.73200e-01
315 	 7.74700e-01
316 	 7.74000e-01
317 	 7.73200e-01
318 	 7.73600e-01
319 	 7.73200e-01
320 	 7.74900e-01
321 	 7.74400e-01
322 	 7.75900e-01
323 	 7.74200e-01
324 	 7.74200e-01
325 	 7.75900e-01
326 	 7.73600e-01
327 	 7.75700e-01
328 	 7.74000e-01
329 	 7.74400e-01
330 	 7.74700e-01
331 	 7.74200e-01
332 	 7.75500e-01
333 	 7.74700e-01
334 	 7.74900e-01
335 	 7.75300e-01
336 	 7.75900e-01
337 	 7.75700e-01
338 	 7.75500e-01
339 	 7.75300e-01
340 	 7.76800e-01
341 	 7.74400e-01
342 	 7.75300e-01
343 	 7.75500e-01
344 	 7.75700e-01
345 	 7.76100e-01
346 	 7.74900e-01
347 	 7.75700e-01
348 	 7.75500e-01
349 	 7.75300e-01
350 	 7.75500e-01
351 	 7.75300e-01
352 	 7.76300e-01
353 	 7.75500e-01
354 	 7.75900e-01
355 	 7.76800e-01
356 	 7.76100e-01
357 	 7.76800e-01
358 	 7.76300e-01
359 	 7.75500e-01
360 	 7.77200e-01
361 	 7.76800e-01
362 	 7.76800e-01
363 	 7.76600e-01
364 	 7.76300e-01
365 	 7.76300e-01
366 	 7.75500e-01
367 	 7.76800e-01
368 	 7.77000e-01
369 	 7.76100e-01
370 	 7.76300e-01
371 	 7.76600e-01
372 	 7.76600e-01
373 	 7.76800e-01
374 	 7.75300e-01
375 	 7.77200e-01
376 	 7.76100e-01
377 	 7.77400e-01
378 	 7.76300e-01
379 	 7.76100e-01
380 	 7.77200e-01
381 	 7.76600e-01
382 	 7.77000e-01
383 	 7.76800e-01
384 	 7.76600e-01
385 	 7.78000e-01
386 	 7.77200e-01
387 	 7.77000e-01
388 	 7.77800e-01
389 	 7.76300e-01
390 	 7.77600e-01
391 	 7.77400e-01
392 	 7.77600e-01
393 	 7.77400e-01
394 	 7.77200e-01
395 	 7.78200e-01
396 	 7.78200e-01
397 	 7.77800e-01
398 	 7.78200e-01
399 	 7.76800e-01
400 	 7.78900e-01
401 	 7.77800e-01
402 	 7.78500e-01
403 	 7.77800e-01
404 	 7.77000e-01
405 	 7.78500e-01
406 	 7.77000e-01
407 	 7.78500e-01
408 	 7.78200e-01
409 	 7.77400e-01
410 	 7.78200e-01
411 	 7.78200e-01
412 	 7.78700e-01
413 	 7.79100e-01
414 	 7.77200e-01
415 	 7.78900e-01
416 	 7.78200e-01
417 	 7.78700e-01
418 	 7.79100e-01
419 	 7.78000e-01
420 	 7.78000e-01
421 	 7.78000e-01
422 	 7.78700e-01
423 	 7.77600e-01
424 	 7.77400e-01
425 	 7.78200e-01
426 	 7.78200e-01
427 	 7.78000e-01
428 	 7.78200e-01
429 	 7.77400e-01
430 	 7.78500e-01
431 	 7.78500e-01
432 	 7.79300e-01
433 	 7.77800e-01
434 	 7.78000e-01
435 	 7.79300e-01
436 	 7.78700e-01
437 	 7.77800e-01
438 	 7.78200e-01
439 	 7.77400e-01
440 	 7.78500e-01
441 	 7.78200e-01
442 	 7.79500e-01
443 	 7.77800e-01
444 	 7.78700e-01
445 	 7.79700e-01
446 	 7.78900e-01
447 	 7.79100e-01
448 	 7.78700e-01
449 	 7.78500e-01
450 	 7.79700e-01
451 	 7.78000e-01
452 	 7.80200e-01
453 	 7.79500e-01
454 	 7.78200e-01
455 	 7.78700e-01
456 	 7.78200e-01
457 	 7.77800e-01
458 	 7.78700e-01
459 	 7.78000e-01
460 	 7.78000e-01
461 	 7.78200e-01
462 	 7.78500e-01
463 	 7.78700e-01
464 	 7.78900e-01
465 	 7.78000e-01
466 	 7.78500e-01
467 	 7.78200e-01
468 	 7.79100e-01
469 	 7.78700e-01
470 	 7.79500e-01
471 	 7.79100e-01
472 	 7.79900e-01
473 	 7.78500e-01
474 	 7.78000e-01
475 	 7.78500e-01
476 	 7.78700e-01
477 	 7.79500e-01
478 	 7.78700e-01
479 	 7.78200e-01
480 	 7.79100e-01
481 	 7.78500e-01
482 	 7.78000e-01
483 	 7.78200e-01
484 	 7.78000e-01
485 	 7.79100e-01
486 	 7.78000e-01
487 	 7.79100e-01
488 	 7.79300e-01
489 	 7.77200e-01
490 	 7.79100e-01
491 	 7.78500e-01
492 	 7.79100e-01
493 	 7.78500e-01
494 	 7.77800e-01
495 	 7.79100e-01
496 	 7.78000e-01
497 	 7.79500e-01
498 	 7.78900e-01
499 	 7.78200e-01
500 	 7.79500e-01
501 	 7.79100e-01
502 	 7.79900e-01
503 	 7.79700e-01
504 	 7.78700e-01
505 	 7.78900e-01
506 	 7.79300e-01
507 	 7.80200e-01
508 	 7.79500e-01
509 	 7.77800e-01
510 	 7.79900e-01
511 	 7.78700e-01
512 	 7.79900e-01
513 	 7.79900e-01
514 	 7.78900e-01
515 	 7.79100e-01
516 	 7.79100e-01
517 	 7.79300e-01
518 	 7.79300e-01
519 	 7.77800e-01
520 	 7.78900e-01
521 	 7.77800e-01
522 	 7.79500e-01
523 	 7.78900e-01
524 	 7.78700e-01
525 	 7.79700e-01
526 	 7.79500e-01
527 	 7.78900e-01
528 	 7.78200e-01
529 	 7.78500e-01
530 	 7.79500e-01
531 	 7.79100e-01
532 	 7.79500e-01
533 	 7.79300e-01
534 	 7.78500e-01
535 	 7.79700e-01
536 	 7.79500e-01
537 	 7.79700e-01
538 	 7.79300e-01
539 	 7.77800e-01
540 	 7.78500e-01
541 	 7.78900e-01
542 	 7.80200e-01
543 	 7.79900e-01
544 	 7.79500e-01
545 	 7.79500e-01
546 	 7.79700e-01
547 	 7.79900e-01
548 	 7.79700e-01
549 	 7.79100e-01
550 	 7.79900e-01
551 	 7.78900e-01
552 	 7.79900e-01
553 	 7.79100e-01
554 	 7.78500e-01
555 	 7.79100e-01
556 	 7.78500e-01
557 	 7.79300e-01
558 	 7.79500e-01
559 	 7.79100e-01
560 	 7.79100e-01
561 	 7.78000e-01
562 	 7.79300e-01
563 	 7.78900e-01
564 	 7.79100e-01
565 	 7.80200e-01
566 	 7.78700e-01
567 	 7.79700e-01
568 	 7.79500e-01
569 	 7.78500e-01
570 	 7.79700e-01
571 	 7.78900e-01
572 	 7.79300e-01
573 	 7.79100e-01
574 	 7.78900e-01
575 	 7.79300e-01
576 	 7.78900e-01
577 	 7.79700e-01
578 	 7.80600e-01
579 	 7.78500e-01
580 	 7.80400e-01
581 	 7.79100e-01
582 	 7.79900e-01
583 	 7.78900e-01
584 	 7.79500e-01
585 	 7.80400e-01
586 	 7.79500e-01
587 	 7.79500e-01
588 	 7.78900e-01
589 	 7.79100e-01
590 	 7.79700e-01
591 	 7.78900e-01
592 	 7.79300e-01
593 	 7.79500e-01
594 	 7.78200e-01
595 	 7.79500e-01
596 	 7.78200e-01
597 	 7.79700e-01
598 	 7.79900e-01
599 	 7.79300e-01
600 	 7.80400e-01
601 	 7.79500e-01
602 	 7.79100e-01
603 	 7.79500e-01
604 	 7.78200e-01
605 	 7.79700e-01
606 	 7.79900e-01
607 	 7.79900e-01
608 	 7.79700e-01
609 	 7.78900e-01
610 	 7.79900e-01
611 	 7.79700e-01
612 	 7.80200e-01
613 	 7.79700e-01
614 	 7.79500e-01
615 	 7.79100e-01
616 	 7.78500e-01
617 	 7.79900e-01
618 	 7.79900e-01
619 	 7.79500e-01
620 	 7.80400e-01
621 	 7.78700e-01
622 	 7.80600e-01
623 	 7.79700e-01
624 	 7.79500e-01
625 	 7.79300e-01
626 	 7.78200e-01
627 	 7.80200e-01
628 	 7.79500e-01
629 	 7.79300e-01
630 	 7.79700e-01
631 	 7.78700e-01
632 	 7.80200e-01
633 	 7.79500e-01
634 	 7.78900e-01
635 	 7.79700e-01
636 	 7.78900e-01
637 	 7.80200e-01
638 	 7.79900e-01
639 	 7.79300e-01
640 	 7.79700e-01
641 	 7.78900e-01
642 	 7.80200e-01
643 	 7.79700e-01
644 	 7.79100e-01
645 	 7.80200e-01
646 	 7.80200e-01
647 	 7.79900e-01
648 	 7.80400e-01
649 	 7.79700e-01
650 	 7.79900e-01
651 	 7.79700e-01
652 	 7.81000e-01
653 	 7.79900e-01
654 	 7.78900e-01
655 	 7.79900e-01
656 	 7.78200e-01
657 	 7.80200e-01
658 	 7.79300e-01
659 	 7.79300e-01
660 	 7.79900e-01
661 	 7.79300e-01
662 	 7.81000e-01
663 	 7.79900e-01
664 	 7.79700e-01
665 	 7.79700e-01
666 	 7.79300e-01
667 	 7.80200e-01
668 	 7.79100e-01
669 	 7.78900e-01
670 	 7.79900e-01
671 	 7.79900e-01
672 	 7.80400e-01
673 	 7.80200e-01
674 	 7.78700e-01
675 	 7.80200e-01
676 	 7.79500e-01
677 	 7.80200e-01
678 	 7.80800e-01
679 	 7.79500e-01
680 	 7.80400e-01
681 	 7.80200e-01
682 	 7.81000e-01
683 	 7.79700e-01
684 	 7.79700e-01
685 	 7.78900e-01
686 	 7.79900e-01
687 	 7.79900e-01
688 	 7.80400e-01
689 	 7.79100e-01
690 	 7.80200e-01
691 	 7.79100e-01
692 	 7.79500e-01
693 	 7.79500e-01
694 	 7.79300e-01
695 	 7.80600e-01
696 	 7.79900e-01
697 	 7.81600e-01
698 	 7.81000e-01
699 	 7.80200e-01
700 	 7.81000e-01
701 	 7.79700e-01
702 	 7.79100e-01
703 	 7.80400e-01
704 	 7.78900e-01
705 	 7.80400e-01
706 	 7.78700e-01
707 	 7.79700e-01
708 	 7.79500e-01
709 	 7.79100e-01
710 	 7.79300e-01
711 	 7.79900e-01
712 	 7.81000e-01
713 	 7.80800e-01
714 	 7.79300e-01
715 	 7.80600e-01
716 	 7.78900e-01
717 	 7.80200e-01
718 	 7.80200e-01
719 	 7.79700e-01
720 	 7.79900e-01
721 	 7.79700e-01
722 	 7.80400e-01
723 	 7.80200e-01
724 	 7.80200e-01
725 	 7.80800e-01
726 	 7.78900e-01
727 	 7.80800e-01
728 	 7.79700e-01
729 	 7.79700e-01
730 	 7.80400e-01
731 	 7.79700e-01
732 	 7.81200e-01
733 	 7.80400e-01
734 	 7.79900e-01
735 	 7.80200e-01
736 	 7.80800e-01
737 	 7.81600e-01
738 	 7.80800e-01
739 	 7.79700e-01
740 	 7.80800e-01
741 	 7.80400e-01
742 	 7.80200e-01
743 	 7.80400e-01
744 	 7.79700e-01
745 	 7.79900e-01
746 	 7.80200e-01
747 	 7.80600e-01
748 	 7.79900e-01
749 	 7.79300e-01
750 	 7.80200e-01
751 	 7.79300e-01
752 	 7.79900e-01
753 	 7.81000e-01
754 	 7.79700e-01
755 	 7.80600e-01
756 	 7.79700e-01
757 	 7.79500e-01
758 	 7.80200e-01
759 	 7.79700e-01
760 	 7.81200e-01
761 	 7.79900e-01
762 	 7.80800e-01
763 	 7.79500e-01
764 	 7.79300e-01
765 	 7.79500e-01
766 	 7.80400e-01
767 	 7.80800e-01
768 	 7.80800e-01
769 	 7.79700e-01
770 	 7.80600e-01
771 	 7.79700e-01
772 	 7.80400e-01
773 	 7.81000e-01
774 	 7.79700e-01
775 	 7.80400e-01
776 	 7.80800e-01
777 	 7.81200e-01
778 	 7.80800e-01
779 	 7.80400e-01
780 	 7.80600e-01
781 	 7.80600e-01
782 	 7.80600e-01
783 	 7.79700e-01
784 	 7.79900e-01
785 	 7.80600e-01
786 	 7.80200e-01
787 	 7.80800e-01
788 	 7.81000e-01
789 	 7.79900e-01
790 	 7.80200e-01
791 	 7.80200e-01
792 	 7.81200e-01
793 	 7.80800e-01
794 	 7.80400e-01
795 	 7.79900e-01
796 	 7.80600e-01
797 	 7.80400e-01
798 	 7.80600e-01
799 	 7.79300e-01
800 	 7.79900e-01
801 	 7.80400e-01
802 	 7.80800e-01
803 	 7.80600e-01
804 	 7.79700e-01
805 	 7.80800e-01
806 	 7.80200e-01
807 	 7.80800e-01
808 	 7.81000e-01
809 	 7.79300e-01
810 	 7.80200e-01
811 	 7.80200e-01
812 	 7.81400e-01
813 	 7.81000e-01
814 	 7.79500e-01
815 	 7.80600e-01
816 	 7.79700e-01
817 	 7.81400e-01
818 	 7.80600e-01
819 	 7.79700e-01
820 	 7.80600e-01
821 	 7.79700e-01
822 	 7.80600e-01
823 	 7.80400e-01
824 	 7.79500e-01
825 	 7.80600e-01
826 	 7.79700e-01
827 	 7.80200e-01
828 	 7.81000e-01
829 	 7.80200e-01
830 	 7.80400e-01
831 	 7.80400e-01
832 	 7.80600e-01
833 	 7.80600e-01
834 	 7.79500e-01
835 	 7.80200e-01
836 	 7.80400e-01
837 	 7.80200e-01
838 	 7.80400e-01
839 	 7.80200e-01
840 	 7.80800e-01
841 	 7.80400e-01
842 	 7.80400e-01
843 	 7.79900e-01
844 	 7.79500e-01
845 	 7.80800e-01
846 	 7.78900e-01
847 	 7.81000e-01
848 	 7.80600e-01
849 	 7.80200e-01
850 	 7.80600e-01
851 	 7.80400e-01
852 	 7.81000e-01
853 	 7.81000e-01
854 	 7.80600e-01
855 	 7.81400e-01
856 	 7.80200e-01
857 	 7.81200e-01
858 	 7.81800e-01
859 	 7.81000e-01
860 	 7.80600e-01
861 	 7.80400e-01
862 	 7.81000e-01
863 	 7.81600e-01
864 	 7.80200e-01
865 	 7.80600e-01
866 	 7.80200e-01
867 	 7.80600e-01
868 	 7.81000e-01
869 	 7.81000e-01
870 	 7.80200e-01
871 	 7.80400e-01
872 	 7.81000e-01
873 	 7.80400e-01
874 	 7.80800e-01
875 	 7.80200e-01
876 	 7.80400e-01
877 	 7.81600e-01
878 	 7.81000e-01
879 	 7.80400e-01
880 	 7.79900e-01
881 	 7.80800e-01
882 	 7.81200e-01
883 	 7.81200e-01
884 	 7.80800e-01
885 	 7.81200e-01
886 	 7.80200e-01
887 	 7.81600e-01
888 	 7.81400e-01
889 	 7.80600e-01
890 	 7.80800e-01
891 	 7.80400e-01
892 	 7.81400e-01
893 	 7.81000e-01
894 	 7.80800e-01
895 	 7.80800e-01
896 	 7.81200e-01
897 	 7.81200e-01
898 	 7.81400e-01
899 	 7.81000e-01
900 	 7.81200e-01
901 	 7.81000e-01
902 	 7.81600e-01
903 	 7.81400e-01
904 	 7.80800e-01
905 	 7.80800e-01
906 	 7.80600e-01
907 	 7.81400e-01
908 	 7.81200e-01
909 	 7.80600e-01
910 	 7.79700e-01
911 	 7.79900e-01
912 	 7.81200e-01
913 	 7.81800e-01
914 	 7.79900e-01
915 	 7.80800e-01
916 	 7.80800e-01
917 	 7.81600e-01
918 	 7.81200e-01
919 	 7.79700e-01
920 	 7.81200e-01
921 	 7.80600e-01
922 	 7.80800e-01
923 	 7.80800e-01
924 	 7.80400e-01
925 	 7.80600e-01
926 	 7.80800e-01
927 	 7.82900e-01
928 	 7.81800e-01
929 	 7.80600e-01
930 	 7.81400e-01
931 	 7.81200e-01
932 	 7.82300e-01
933 	 7.82900e-01
934 	 7.81000e-01
935 	 7.81600e-01
936 	 7.81000e-01
937 	 7.81800e-01
938 	 7.80800e-01
939 	 7.81200e-01
940 	 7.82300e-01
941 	 7.81200e-01
942 	 7.82500e-01
943 	 7.81600e-01
944 	 7.81000e-01
945 	 7.80800e-01
946 	 7.79900e-01
947 	 7.81600e-01
948 	 7.82100e-01
949 	 7.79900e-01
950 	 7.81200e-01
951 	 7.80800e-01
952 	 7.81600e-01
953 	 7.81200e-01
954 	 7.80400e-01
955 	 7.81600e-01
956 	 7.80600e-01
957 	 7.81400e-01
958 	 7.80800e-01
959 	 7.80600e-01
960 	 7.80800e-01
961 	 7.80800e-01
962 	 7.81000e-01
963 	 7.81600e-01
964 	 7.80600e-01
965 	 7.81200e-01
966 	 7.80600e-01
967 	 7.82300e-01
968 	 7.81200e-01
969 	 7.80800e-01
970 	 7.81400e-01
971 	 7.80800e-01
972 	 7.80800e-01
973 	 7.82100e-01
974 	 7.81000e-01
975 	 7.81000e-01
976 	 7.80600e-01
977 	 7.81800e-01
978 	 7.81200e-01
979 	 7.81800e-01
980 	 7.81200e-01
981 	 7.80400e-01
982 	 7.81800e-01
983 	 7.81000e-01
984 	 7.80200e-01
985 	 7.80600e-01
986 	 7.81000e-01
987 	 7.81200e-01
988 	 7.80800e-01
989 	 7.80800e-01
990 	 7.81200e-01
991 	 7.80800e-01
992 	 7.82300e-01
993 	 7.81800e-01
994 	 7.81000e-01
995 	 7.81000e-01
996 	 7.81000e-01
997 	 7.81400e-01
998 	 7.82300e-01
999 	 7.81800e-01
1000 	 7.81600e-01
1001 	 7.80600e-01
1002 	 7.81400e-01
1003 	 7.82100e-01
1004 	 7.80800e-01
1005 	 7.81200e-01
1006 	 7.81200e-01
1007 	 7.81400e-01
1008 	 7.82100e-01
1009 	 7.80600e-01
1010 	 7.81200e-01
1011 	 7.81600e-01
1012 	 7.82700e-01
1013 	 7.82500e-01
1014 	 7.81000e-01
1015 	 7.81600e-01
1016 	 7.80800e-01
1017 	 7.81200e-01
1018 	 7.81600e-01
1019 	 7.81200e-01
1020 	 7.81000e-01
1021 	 7.80600e-01
1022 	 7.81200e-01
1023 	 7.81800e-01
1024 	 7.80800e-01
1025 	 7.81800e-01
1026 	 7.81600e-01
1027 	 7.82100e-01
1028 	 7.81400e-01
1029 	 7.81000e-01
1030 	 7.81600e-01
1031 	 7.81800e-01
1032 	 7.82300e-01
1033 	 7.82300e-01
1034 	 7.81400e-01
1035 	 7.82300e-01
1036 	 7.80400e-01
1037 	 7.81800e-01
1038 	 7.82500e-01
1039 	 7.81600e-01
1040 	 7.81400e-01
1041 	 7.80600e-01
1042 	 7.82500e-01
1043 	 7.82300e-01
1044 	 7.81200e-01
1045 	 7.81400e-01
1046 	 7.81200e-01
1047 	 7.82100e-01
1048 	 7.81600e-01
1049 	 7.81000e-01
1050 	 7.81200e-01
1051 	 7.81200e-01
1052 	 7.82300e-01
1053 	 7.82500e-01
1054 	 7.81600e-01
1055 	 7.81800e-01
1056 	 7.80800e-01
1057 	 7.82700e-01
1058 	 7.81400e-01
1059 	 7.81600e-01
1060 	 7.81200e-01
1061 	 7.82300e-01
1062 	 7.83300e-01
1063 	 7.81600e-01
1064 	 7.81800e-01
1065 	 7.82100e-01
1066 	 7.81400e-01
1067 	 7.83100e-01
1068 	 7.82900e-01
1069 	 7.82100e-01
1070 	 7.82100e-01
1071 	 7.81600e-01
1072 	 7.82500e-01
1073 	 7.82300e-01
1074 	 7.81600e-01
1075 	 7.82300e-01
1076 	 7.81000e-01
1077 	 7.82300e-01
1078 	 7.82900e-01
1079 	 7.81200e-01
1080 	 7.82500e-01
1081 	 7.81800e-01
1082 	 7.82700e-01
1083 	 7.82100e-01
1084 	 7.81400e-01
1085 	 7.82500e-01
1086 	 7.81200e-01
1087 	 7.82100e-01
1088 	 7.81800e-01
1089 	 7.81200e-01
1090 	 7.80600e-01
1091 	 7.81800e-01
1092 	 7.82300e-01
1093 	 7.82100e-01
1094 	 7.81800e-01
1095 	 7.81400e-01
1096 	 7.81200e-01
1097 	 7.82900e-01
1098 	 7.83300e-01
1099 	 7.81600e-01
1100 	 7.81800e-01
1101 	 7.81800e-01
1102 	 7.83500e-01
1103 	 7.83300e-01
1104 	 7.82500e-01
1105 	 7.81200e-01
1106 	 7.80600e-01
1107 	 7.83100e-01
1108 	 7.82300e-01
1109 	 7.81200e-01
1110 	 7.81800e-01
1111 	 7.81600e-01
1112 	 7.82900e-01
1113 	 7.82300e-01
1114 	 7.81800e-01
1115 	 7.81400e-01
1116 	 7.81200e-01
1117 	 7.82100e-01
1118 	 7.82300e-01
1119 	 7.82300e-01
1120 	 7.81600e-01
1121 	 7.80800e-01
1122 	 7.83100e-01
1123 	 7.82100e-01
1124 	 7.81600e-01
1125 	 7.81800e-01
1126 	 7.82300e-01
1127 	 7.84000e-01
1128 	 7.82700e-01
1129 	 7.81200e-01
1130 	 7.82900e-01
1131 	 7.81600e-01
1132 	 7.82900e-01
1133 	 7.82500e-01
1134 	 7.81800e-01
1135 	 7.82500e-01
1136 	 7.81800e-01
1137 	 7.82300e-01
1138 	 7.81600e-01
1139 	 7.82500e-01
1140 	 7.81800e-01
1141 	 7.81600e-01
1142 	 7.83500e-01
1143 	 7.82300e-01
